r,g,b,weight,source_index
94.0,79.0,82.0,33.00005716064045,254458
73.0,81.0,92.0,475.00082276679444,101637
88.0,93.0,87.0,667.0011553377934,127237
192.0,47.0,2.0,3083.005340189531,1515265
210.0,32.0,4.0,1702.002948103335,712416
206.0,57.0,0.0,4837.0083783641785,1034311
210.0,60.0,7.0,2270.003931959207,1368993
204.0,43.0,25.0,1180.0020439259315,719521
213.0,32.0,21.0,544.0009422844972,734176
197.0,59.0,23.0,1182.0020473902127,353489
210.0,48.0,25.0,676.001170927059,706507
198.0,1.0,0.0,5759.009975397829,580427
218.0,0.0,1.0,1433.0024821575082,1464918
198.0,27.0,1.0,3555.0061577599035,609096
222.0,22.0,9.0,1899.0032893350372,523337
206.0,6.0,19.0,1016.0017598548698,772055
211.0,8.0,30.0,742.0012852483399,769082
198.0,30.0,27.0,655.001134552106,437925
218.0,30.0,19.0,289.0005005886391,600214
193.0,79.0,43.0,2030.0035162454583,955272
211.0,74.0,40.0,815.0014116946052,686187
195.0,87.0,41.0,2275.0039406199103,466486
217.0,82.0,34.0,1386.0024007468992,753662
198.0,71.0,56.0,2508.0043442086744,1368949
209.0,65.0,56.0,444.0007690704352,730272
202.0,88.0,61.0,3389.0058702245606,447551
216.0,93.0,62.0,1742.0030173889597,688178
169.0,97.0,0.0,3240.0056121356083,1304166
188.0,109.0,6.0,3546.0061421706378,1187654
171.0,121.0,6.0,993.0017200156354,672054
183.0,113.0,15.0,2628.004552065549,620192
164.0,110.0,20.0,1120.0019399974942,1014872
188.0,104.0,16.0,1144.001981568869,1219865
167.0,112.0,19.0,731.0012661947931,565655
184.0,114.0,26.0,1093.0018932296975,490052
197.0,105.0,64.0,2550.0044169585804,770218
209.0,96.0,64.0,2227.00385747716,696087
206.0,122.0,76.0,1827.0031646209125,991523
215.0,126.0,70.0,1544.002674425117,953032
193.0,109.0,85.0,1101.0019070868225,486677
215.0,103.0,89.0,795.0013770517928,510604
206.0,118.0,82.0,2234.0038696021447,583349
222.0,114.0,86.0,2031.003517977599,564530
108.0,128.0,100.0,3006.0052068147033,1371100
115.0,139.0,107.0,3566.00617681345,1656916
108.0,145.0,102.0,485.0008400882006,1625151
114.0,154.0,101.0,3708.0064227774183,1242859
105.0,129.0,113.0,425.00073615976345,1708115
114.0,140.0,115.0,1047.001813551229,1717990
111.0,144.0,113.0,24.000041571374876,1038445
123.0,159.0,115.0,1383.0023955504773,1377986
198.0,98.0,38.0,2469.0042766551906,952085
209.0,100.0,43.0,1856.0032148529904,960975
192.0,125.0,47.0,859.0014879087925,846495
210.0,120.0,42.0,802.0013891767771,1515954
207.0,96.0,51.0,2814.0048742437043,550351
211.0,111.0,62.0,1701.0029463711944,1288000
204.0,122.0,49.0,1384.002397282618,1516782
208.0,113.0,59.0,1269.0021980864465,1584949
97.0,79.0,41.0,2200.0038107093637,395451
126.0,74.0,37.0,1640.0028407106165,440122
96.0,84.0,44.0,1698.0029411747726,449019
122.0,84.0,37.0,1968.0034088527398,424537
109.0,75.0,48.0,848.0014688552457,600269
119.0,79.0,54.0,676.001170927059,418929
97.0,83.0,54.0,2288.003963137738,612237
124.0,95.0,63.0,1493.0025860859455,748496
197.0,129.0,4.0,2333.004041084066,1188957
218.0,143.0,0.0,3594.006225313388,1574592
204.0,156.0,10.0,1171.0020283366657,1292604
210.0,144.0,0.0,2777.0048101545012,1536384
201.0,141.0,27.0,1018.001763319151,1728741
210.0,142.0,19.0,773.0013389446991,1166426
196.0,155.0,27.0,309.0005352314515,1297525
210.0,150.0,17.0,743.0012869804806,1576852
229.0,132.0,0.0,2826.0048950293917,690912
248.0,128.0,5.0,1789.0030987995688,681416
224.0,148.0,0.0,3440.0059585637323,921779
254.0,150.0,0.0,1890.0032737457714,1066912
225.0,140.0,21.0,558.0009665344659,1081481
249.0,135.0,20.0,457.00079158826327,828423
229.0,155.0,22.0,646.0011189628405,1236015
255.0,146.0,30.0,574.0009942487158,841260
199.0,170.0,110.0,1671.0028944069757,824907
216.0,168.0,106.0,1150.0019919617127,1178746
205.0,183.0,100.0,657.0011380163872,388993
222.0,188.0,98.0,1916.0033187814277,312846
207.0,167.0,115.0,1183.0020491223534,405607
220.0,171.0,113.0,717.0012419448244,1365556
201.0,179.0,119.0,1968.0034088527398,871339
219.0,185.0,124.0,2387.0041346196595,327296
165.0,32.0,37.0,1464.0025358538674,755854
190.0,45.0,42.0,1558.0026986750856,775657
166.0,49.0,42.0,2672.004628279736,308790
185.0,55.0,41.0,2699.004675047533,1398582
175.0,41.0,48.0,134.00023210684304,757838
182.0,40.0,56.0,462.00080024896636,553450
174.0,57.0,48.0,621.0010756593249,1400529
179.0,56.0,48.0,1092.001891497557,1421306
136.0,71.0,39.0,1646.0028511034602,627011
158.0,71.0,43.0,2036.003526638302,1060703
130.0,91.0,34.0,1490.0025808895236,851534
156.0,80.0,44.0,1212.0020993544313,579399
128.0,65.0,48.0,757.0013112304492,752399
156.0,68.0,54.0,1063.0018412654788,541816
130.0,82.0,59.0,1302.002255247087,392810
156.0,93.0,62.0,1086.0018811047132,1654675
93.0,141.0,21.0,8.000013857124959,191441
124.0,130.0,24.0,74.00012817840587,20255
117.0,165.0,30.0,5.000008660703099,163732
94.0,131.0,53.0,148.00025635681175,289498
123.0,164.0,46.0,32.000055428499834,162747
231.0,192.0,133.0,2070.003585531083,508381
247.0,201.0,141.0,1056.0018291404945,447696
229.0,208.0,141.0,998.0017286763385,641974
245.0,214.0,134.0,1393.0024128718835,410710
231.0,201.0,147.0,1003.0017373370417,687237
250.0,203.0,149.0,707.0012246234182,583327
224.0,209.0,150.0,1404.0024319254303,474736
250.0,211.0,154.0,1163.0020144795408,642250
236.0,175.0,0.0,3073.005322868125,663182
242.0,175.0,0.0,1638.0028372463353,1555763
235.0,183.0,12.0,1542.0026709608358,1412901
242.0,179.0,3.0,1161.0020110152595,1557765
237.0,174.0,21.0,592.001025427247,1192880
248.0,174.0,25.0,580.0010046415595,1182408
233.0,189.0,20.0,376.0006512848731,377464
246.0,188.0,28.0,423.0007326954822,661215
195.0,140.0,73.0,1165.002017943822,1487870
212.0,141.0,75.0,942.0016316764638,495508
203.0,159.0,64.0,1241.0021495865092,854293
209.0,146.0,67.0,953.0016507300107,1482911
202.0,139.0,95.0,1234.0021374615249,1224603
222.0,141.0,86.0,1628.002819924929,1487297
206.0,157.0,80.0,1251.0021669079154,938809
221.0,144.0,92.0,889.001539873011,1450683
161.0,108.0,40.0,1013.0017546584479,413518
191.0,101.0,41.0,1450.0025116038987,1505008
170.0,117.0,39.0,996.0017252120573,453936
181.0,112.0,47.0,948.0016420693076,459268
161.0,97.0,53.0,1107.0019174796662,618747
190.0,104.0,57.0,1597.00276622857,1570102
171.0,123.0,51.0,1194.0020681759001,871328
176.0,116.0,53.0,953.0016507300107,532029
78.0,68.0,0.0,597.0010340879501,288619
87.0,70.0,0.0,978.0016940335262,1616391
73.0,80.0,12.0,219.00037933879574,913440
80.0,91.0,15.0,170.00029446390536,884815
65.0,65.0,29.0,2728.0047252796107,549827
80.0,71.0,30.0,2118.0036686738326,1378673
73.0,80.0,29.0,1473.002551443133,9413
82.0,92.0,29.0,708.0012263555589,1031498
229.0,98.0,7.0,2558.0044308157053,1009889
241.0,96.0,3.0,66.0001143212809,1037259
239.0,124.0,7.0,3829.006632366433,659689
242.0,117.0,7.0,662.0011466770903,1105983
237.0,97.0,18.0,794.0013753196522,711852
244.0,110.0,21.0,90.00015589265578,1023726
232.0,120.0,22.0,642.001112034278,667194
246.0,113.0,20.0,263.000455552983,1018785
227.0,164.0,71.0,1324.0022933541807,1338847
255.0,172.0,66.0,774.0013406768397,1141638
233.0,182.0,75.0,1108.0019192118068,1242933
245.0,181.0,71.0,1162.0020127474002,620714
226.0,164.0,89.0,1019.0017650512916,426401
241.0,171.0,83.0,711.0012315519807,401430
226.0,191.0,89.0,1275.0022084792902,984264
252.0,190.0,91.0,1482.0025670323985,488884
161.0,106.0,67.0,1034.0017910334009,427323
189.0,110.0,69.0,1939.0033586206619,620278
167.0,127.0,65.0,864.0014965694955,342499
185.0,112.0,71.0,1072.0018568547443,270573
166.0,104.0,83.0,507.00087819529426,501297
182.0,99.0,81.0,962.0016663192763,1381409
163.0,119.0,82.0,664.0011501413716,615228
188.0,122.0,88.0,996.0017252120573,538093
169.0,134.0,76.0,1360.002355711243,1685238
185.0,128.0,73.0,1215.0021045508531,851422
