id,latitude,longitude,price
759,37.80698,-122.41344,591
760,37.758205,-122.399689,113
761,37.75807847656964,-122.4211430093806,85
762,37.80339,-122.40855,1178
763,37.7731,-122.42439,105
764,37.75044,-122.41588,246
765,37.78664,-122.39308,111
766,37.73074,-122.40882,121
767,37.79933,-122.40594,106
768,37.78571,-122.46154,550
769,37.7992,-122.42358,98
770,37.74648,-122.43035,375
771,37.79756,-122.42396,119
772,37.78533,-122.4094,89
773,37.75916,-122.50689,98
774,37.77773,-122.44181,264
775,37.72729,-122.42926,110
776,37.7879,-122.43821,704
777,37.79693,-122.43486,80
778,37.76448,-122.42349,172
779,37.76284,-122.45487,95
780,37.74509,-122.43105,220
781,37.76972,-122.41966,180
782,37.78931,-122.41158,130
783,37.78763,-122.3887,290
784,37.72626,-122.43233,69
785,37.75931,-122.38752,85
786,37.75852,-122.4356,249
787,37.79901,-122.42511,123
788,37.73119,-122.45014,55
789,37.7503,-122.40985,350
790,37.74551,-122.43283,132
791,37.77817,-122.44604,900
792,37.77822,-122.44544,257
793,37.76614,-122.42709,1803
794,37.74561,-122.43294,795
795,37.75114,-122.4377,940
796,37.74077,-122.4187,675
797,37.75811,-122.44439,137
798,37.75165,-122.44043,471
799,37.77184,-122.42287,99
800,37.76604,-122.45308,112
801,37.78841,-122.40927,328
802,37.75197,-122.4426,102
803,37.78172,-122.49235,201
804,37.77831,-122.41228,180
805,37.75533,-122.41465,195
806,37.76073,-122.39041,210
807,37.73519,-122.46446,35
808,37.75213,-122.43693,115
809,37.74631,-122.50614,120
810,37.7569,-122.41803,49
811,37.79102,-122.40921,123
812,37.79812,-122.43654,159
813,37.75488,-122.46541,125
814,37.78598,-122.40779,89
815,37.75605,-122.4112,68
816,37.73397,-122.41443,125
817,37.74426,-122.48593,164
818,37.7672,-122.44725,80
819,37.75646,-122.45623,525
820,37.75691,-122.4199,49
821,37.73505,-122.44953,249
822,37.73152,-122.46188,145
823,37.8054,-122.44376,125
824,37.75763,-122.47958,75
825,37.74029,-122.41982,560
826,37.7407,-122.42001,121
827,37.74004,-122.45486,139
828,37.80227,-122.42691,160
829,37.75914,-122.44684,108
830,37.79908,-122.43774,310
831,37.74024,-122.41933,64
832,37.79501,-122.41232,365
833,37.75244,-122.43127,165
834,37.75816,-122.44681,285
835,37.7548,-122.4591,118
836,37.78712,-122.41103,292
837,37.76,-122.40254,500
838,37.76011,-122.40172,500
839,37.79802,-122.44187,600
840,37.71142,-122.39825,189
