Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,2,512,2,43217.316970254455,1.0333250999974553,517,512,True,0.0340878280054023,0.4,0.5326223125844108,54831.59987697039,0.0011267999943811,0.0836132999975234,20,0
birb,2,512,3,43221.28290601821,1.0333367999992331,517,512,True,0.0301015030664754,0.4,0.4703359854136783,62092.91747789313,0.0010341999877709,0.0844131000048946,20,0
birb,2,512,4,43264.32081960525,1.0475623000238556,517,512,True,0.0264500473131873,0.3,0.9796313819699022,70664.90746635907,0.0008236999856308,0.0827796999947168,20,0
birb,2,1024,0,43219.40595151536,1.2232343000068795,1026,1024,True,0.0042845969295377,0.2,0.5355746161922161,99017.90909650136,0.0020329999970272,0.0815767000021878,20,0
birb,2,1024,1,43215.216241395385,1.2104024000000209,1026,1024,True,0.0028705254176707,0.2,0.3588156772088425,147795.87969242598,0.0014246999926399,0.0820447000151034,20,0
birb,2,1024,2,43213.70261253853,1.2657984000106808,1026,1024,True,0.0077373600302752,0.2,0.9671700037844052,54831.59987697039,0.0014167999906931,0.0823813000170048,20,0
birb,2,1024,3,43215.25597323272,1.2470671999908518,1026,1024,True,0.006832531736573,0.2,0.8540664670716299,62092.91747789313,0.002092700015055,0.0832663000037428,20,0
birb,2,1024,4,43216.25128460122,1.2447722000069916,1026,1024,True,0.0060037130804435,0.2,0.7504641350554482,70664.90746635907,0.0017377999902237,0.0918699000030756,20,0
birb,2,4096,0,43212.88997160397,3.378947299992433,4102,4096,True,0.0002601887215696,0.1,0.2601887215696965,99017.90909650136,0.0053631000046152,0.0823932999919634,20,0
birb,2,4096,1,43213.15338402474,3.5624156999983825,4102,4096,True,0.0001743170596767,0.1,0.1743170596767549,147795.87969242598,0.0059182000113651,0.0819466999964788,20,0
birb,2,4096,2,43216.39977663712,3.298897399974521,4102,4096,True,0.0004698630577646,0.1,0.4698630577646863,54831.59987697039,0.0044633000215981,0.0800779999990481,20,0
birb,2,4096,3,43212.63333540542,3.4316606000065804,4102,4096,True,0.0004149159715275,0.1,0.4149159715275998,62092.91747789313,0.0056169999879784,0.0757955000153742,20,0
birb,2,4096,4,43213.3830190119,3.315123600012157,4102,4096,True,0.0003645846871389,0.1,0.3645846871389179,70664.90746635907,0.0033157999860122,0.0837438000016845,20,0
birb,4,64,0,20005.02267774786,0.907359400007408,67,64,True,7.078385044529285,2.0,0.8847981305661606,40767.2121645521,0.0009687999845482,0.1431022000033408,20,0
birb,4,64,1,20042.58788676632,0.8893662999907974,67,64,True,13.688604986764108,2.4000000000000004,0.9902058005471716,21080.74746635909,0.0010136000055354,0.1441154000058304,20,0
birb,4,64,2,17939.313392049626,0.9191134000138844,67,64,True,10.6942807139109,2.3000000000000003,0.8789578954475958,26983.21024221453,0.0006996000010985,0.1447855000151321,20,0
birb,4,64,3,17008.276747627166,0.9000488000165205,67,64,True,6.525228681400504,1.9,0.9513381952763528,44223.128258362165,0.0007454000005964,0.1484493999741971,20,0
