r,g,b,weight,source_index
247.0,163.0,28.0,580.0003348801332,793269
228.0,184.0,17.0,376.000217094707,1332906
255.0,188.0,29.0,423.0002442315454,477827
196.0,128.0,79.0,1165.000672647164,942186
220.0,131.0,65.0,942.0005438915266,412780
205.0,155.0,66.0,1241.000716528009,437094
222.0,157.0,77.0,953.0005502427016,1005970
206.0,134.0,86.0,1234.0007124863523,388882
221.0,143.0,94.0,1628.000939973891,942191
197.0,159.0,84.0,1251.0007223018044,351963
216.0,157.0,89.0,889.000513290411,425553
174.0,108.0,47.0,1013.0005848854739,565803
186.0,103.0,35.0,1450.0008372003329,1516842
173.0,126.0,38.0,996.0005750700218,1238081
185.0,119.0,41.0,948.0005473558039,1560123
161.0,98.0,57.0,1107.0006391591508,896440
182.0,101.0,56.0,1597.0009220751253,382856
161.0,116.0,49.0,1194.0006893911707,296607
183.0,112.0,58.0,953.0005502427016,354015
79.0,64.0,0.0,597.0003446955853,589515
81.0,70.0,14.0,978.00056467719,1159500
74.0,84.0,11.0,219.00012644611925,113283
92.0,83.0,14.0,170.0000981545218,342847
77.0,84.0,30.0,1473.0008504800624,3562
82.0,90.0,31.0,708.0004087847143,1590
243.0,105.0,14.0,66.00003810704963,552902
243.0,125.0,1.0,662.0003822252554,722516
230.0,104.0,28.0,794.0004584393547,1147346
248.0,108.0,31.0,90.0000519641586,555866
229.0,116.0,24.0,642.0003706776647,1156221
243.0,125.0,27.0,263.000151850819,1144515
237.0,161.0,67.0,1324.0007644505108,1325038
255.0,171.0,78.0,774.0004468917639,1147549
225.0,182.0,67.0,1108.0006397365303,1193846
245.0,182.0,79.0,1162.0006709150255,568991
238.0,162.0,86.0,1019.0005883497512,467134
241.0,163.0,80.0,711.0004105168529,520211
231.0,180.0,88.0,1275.0007361589135,1140461
243.0,189.0,93.0,1482.0008556764783,624681
164.0,99.0,77.0,1034.0005970104444,806718
161.0,113.0,65.0,864.0004988559225,459817
182.0,115.0,72.0,1072.0006189508667,331493
175.0,108.0,92.0,507.0002927314268,595519
188.0,111.0,93.0,962.0005554391174,1549328
161.0,114.0,86.0,664.0003833800146,551400
185.0,121.0,94.0,996.0005750700218,623818
166.0,139.0,68.0,1360.0007852361744,415678
184.0,129.0,73.0,1215.0007015161411,370883
173.0,157.0,72.0,312.00018014241647,342869
189.0,156.0,79.0,1108.0006397365303,450078
163.0,142.0,89.0,969.0005594807742,1425141
179.0,131.0,93.0,861.0004971237839,316066
168.0,153.0,86.0,632.0003649038692,334556
185.0,155.0,82.0,1510.0008718431054,293043
142.0,101.0,35.0,1392.0008037123196,524177
145.0,103.0,45.0,1266.0007309624975,374983
136.0,125.0,36.0,236.00013626157144,344822
146.0,122.0,36.0,720.0004157132688,874909
140.0,97.0,52.0,1391.00080313494,369699
146.0,100.0,51.0,1135.0006553257779,367365
138.0,116.0,58.0,624.0003602848329,445715
144.0,117.0,62.0,1173.0006772662005,1583448
203.0,129.0,102.0,1211.0006992066228,361088
215.0,129.0,102.0,1564.0009030216004,442368
204.0,148.0,101.0,807.0004659452887,360926
218.0,152.0,100.0,1251.0007223018044,476963
200.0,137.0,120.0,718.0004145585096,751440
215.0,134.0,113.0,860.0004965464044,527387
196.0,154.0,112.0,532.0003071659153,798003
217.0,159.0,119.0,980.0005658319492,605666
235.0,192.0,98.0,1048.000605093758,432152
246.0,203.0,108.0,1546.0008926287687,670450
234.0,215.0,97.0,188.0001085473535,1263011
245.0,208.0,104.0,525.0003031242585,979292
255.0,192.0,114.0,1395.0008054444581,497509
226.0,213.0,119.0,321.00018533883235,1240306
243.0,208.0,127.0,971.0005606355332,428200
41.0,38.0,21.0,1749.0010098368155,1164584
36.0,44.0,21.0,4177.002411714338,922317
42.0,46.0,23.0,3196.0018453050097,16622
35.0,38.0,27.0,5292.003055492525,261957
41.0,37.0,28.0,1290.0007448196066,84279
32.0,40.0,27.0,3105.0017927634717,82029
45.0,44.0,26.0,3863.002230417163,501812
234.0,172.0,97.0,780.0004503560411,398339
255.0,169.0,98.0,689.000397814503,857292
224.0,181.0,102.0,1170.0006755340617,1113767
255.0,187.0,104.0,1201.0006934328276,643454
225.0,174.0,117.0,734.0004237965824,742846
244.0,160.0,126.0,891.0005144451701,1102959
232.0,176.0,127.0,988.0005704509855,329322
255.0,177.0,127.0,871.0005028975793,637623
202.0,133.0,38.0,933.0005386951108,1158052
214.0,135.0,43.0,727.0004197549256,1218282
204.0,151.0,35.0,701.0004047430575,1483988
209.0,156.0,42.0,987.000569873606,1106863
202.0,141.0,50.0,982.0005669867082,1215316
215.0,139.0,53.0,774.0004468917639,1385425
202.0,145.0,56.0,854.0004930821272,742579
208.0,150.0,53.0,1186.0006847721345,1244061
46.0,73.0,6.0,244.00014088060774,261842
54.0,65.0,9.0,649.0003747193215,20352
47.0,80.0,9.0,4.00000230951816,287518
57.0,92.0,0.0,112.00006466650848,282576
45.0,66.0,23.0,784.0004526655594,293510
60.0,80.0,31.0,860.0004965464044,303395
133.0,141.0,104.0,1087.0006276115598,231041
154.0,133.0,102.0,674.0003891538099,1013796
139.0,149.0,99.0,1434.0008279622602,957642
145.0,145.0,109.0,545.0003146718493,1011818
135.0,128.0,120.0,1044.0006027842396,139699
149.0,133.0,118.0,357.0002061244958,205147
128.0,152.0,116.0,1305.0007534802996,1190274
156.0,154.0,115.0,603.0003481598626,324357
109.0,98.0,44.0,465.0002684814861,373810
126.0,107.0,38.0,640.0003695229055,1587409
103.0,112.0,47.0,448.0002586660339,107349
126.0,118.0,33.0,108.00006235699031,903364
116.0,109.0,57.0,1403.0008100634946,1366510
